valence,arousal,id,part,repeat,filepath
1,0,piece_4,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_12.mid
1,0,piece_4,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_16.mid
1,0,piece_4,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_20.mid
1,0,piece_4,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_24.mid
1,0,piece_4,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_28.mid
1,0,piece_4,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Holding My Thoughts in My Heart_32.mid
0,1,piece_5,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Alien Invasion_0.mid
0,1,piece_5,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Alien Invasion_4.mid
0,1,piece_5,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Alien Invasion_8.mid
0,1,piece_5,12,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Alien Invasion_12.mid
0,1,piece_5,20,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Alien Invasion_20.mid
1,1,piece_7,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_0.mid
1,1,piece_7,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_4.mid
1,1,piece_7,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_8.mid
1,1,piece_7,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_12.mid
1,1,piece_7,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_16.mid
1,1,piece_7,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_20.mid
1,1,piece_7,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_24.mid
1,1,piece_7,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_28.mid
1,1,piece_7,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_32.mid
1,1,piece_7,36,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_36.mid
1,1,piece_7,40,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_40.mid
1,1,piece_7,44,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Electric de Chocobo_44.mid
0,1,piece_9,0,-1,../phrases/Other_N64_GoldenEye 007_Facility X_0.mid
0,1,piece_9,4,-1,../phrases/Other_N64_GoldenEye 007_Facility X_4.mid
0,1,piece_9,8,-1,../phrases/Other_N64_GoldenEye 007_Facility X_8.mid
0,1,piece_9,12,-1,../phrases/Other_N64_GoldenEye 007_Facility X_12.mid
0,1,piece_9,16,-1,../phrases/Other_N64_GoldenEye 007_Facility X_16.mid
0,1,piece_9,20,-1,../phrases/Other_N64_GoldenEye 007_Facility X_20.mid
1,1,piece_13,0,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Boggys Igloo Happy_0.mid
1,1,piece_13,4,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Boggys Igloo Happy_4.mid
1,1,piece_13,8,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Boggys Igloo Happy_8.mid
1,1,piece_13,12,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Boggys Igloo Happy_12.mid
1,0,piece_18,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_0.mid
1,0,piece_18,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_4.mid
1,0,piece_18,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_8.mid
1,0,piece_18,12,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_12.mid
1,0,piece_18,16,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_16.mid
1,0,piece_18,20,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_20.mid
1,0,piece_18,24,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Majora's Mask_Song of Healing_24.mid
1,1,piece_19,0,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Motzhand_0.mid
1,1,piece_19,4,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Motzhand_4.mid
1,1,piece_19,8,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Motzhand_8.mid
1,1,piece_20,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_0.mid
1,1,piece_20,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_4.mid
1,1,piece_20,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_8.mid
1,1,piece_20,12,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_12.mid
1,1,piece_20,16,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_16.mid
1,1,piece_20,20,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_20.mid
1,1,piece_20,24,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_24.mid
1,1,piece_20,28,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Sarias Song_28.mid
1,1,piece_21,0,-1,../phrases/Other_NES_Tetris_Enter Your Name_0.mid
1,1,piece_21,4,-1,../phrases/Other_NES_Tetris_Enter Your Name_4.mid
1,1,piece_21,8,-1,../phrases/Other_NES_Tetris_Enter Your Name_8.mid
1,1,piece_21,12,-1,../phrases/Other_NES_Tetris_Enter Your Name_12.mid
1,1,piece_21,16,-1,../phrases/Other_NES_Tetris_Enter Your Name_16.mid
1,1,piece_21,20,-1,../phrases/Other_NES_Tetris_Enter Your Name_20.mid
1,1,piece_21,24,-1,../phrases/Other_NES_Tetris_Enter Your Name_24.mid
1,1,piece_21,28,-1,../phrases/Other_NES_Tetris_Enter Your Name_28.mid
1,1,piece_21,32,-1,../phrases/Other_NES_Tetris_Enter Your Name_32.mid
1,1,piece_22,0,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_0.mid
1,1,piece_22,4,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_4.mid
1,1,piece_22,8,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_8.mid
1,1,piece_22,12,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_12.mid
1,1,piece_22,16,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_16.mid
1,1,piece_22,20,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Click Clock Wood_20.mid
1,1,piece_23,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_0.mid
1,1,piece_23,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_4.mid
1,1,piece_23,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_8.mid
1,1,piece_23,12,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_12.mid
1,1,piece_23,16,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_16.mid
1,1,piece_23,20,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_20.mid
1,1,piece_23,24,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Owls Theme_24.mid
1,1,piece_24,0,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_0.mid
1,1,piece_24,4,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_4.mid
1,1,piece_24,8,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_8.mid
1,1,piece_24,12,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_12.mid
1,1,piece_24,16,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_16.mid
1,1,piece_24,20,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_20.mid
1,1,piece_24,24,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_24.mid
1,1,piece_24,28,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_28.mid
1,1,piece_24,32,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_32.mid
1,1,piece_24,36,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_36.mid
1,1,piece_24,40,-1,../phrases/Super Mario_SNES_Super Mario World_Title Screen_40.mid
0,0,piece_25,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_0.mid
0,0,piece_25,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_4.mid
0,0,piece_25,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_8.mid
0,0,piece_25,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_12.mid
0,0,piece_25,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_16.mid
0,0,piece_25,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_20.mid
0,0,piece_25,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_24.mid
0,0,piece_25,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_28.mid
0,0,piece_25,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Trail of Blood_32.mid
1,0,piece_26,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_0.mid
1,0,piece_26,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_4.mid
1,0,piece_26,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_8.mid
1,0,piece_26,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_12.mid
1,0,piece_26,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_16.mid
1,0,piece_26,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_20.mid
1,0,piece_26,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_24.mid
1,0,piece_26,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_28.mid
1,0,piece_26,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_32.mid
1,0,piece_26,36,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_36.mid
1,0,piece_26,40,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_40.mid
1,0,piece_26,44,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_44.mid
1,0,piece_26,48,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Sandy Badlands_48.mid
0,0,piece_28,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Life Stream_0.mid
0,0,piece_28,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Life Stream_4.mid
1,1,piece_29,0,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_0.mid
1,1,piece_29,4,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_4.mid
1,1,piece_29,8,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_8.mid
1,1,piece_29,12,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_12.mid
1,1,piece_29,16,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_16.mid
1,1,piece_29,20,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_20.mid
1,1,piece_29,24,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_24.mid
1,1,piece_29,28,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_28.mid
1,1,piece_29,32,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_32.mid
1,1,piece_29,36,-1,../phrases/Banjo-Kazooie_N64_Banjo-Kazooie_Bubblegloop Swamp_36.mid
0,0,piece_31,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_0.mid
0,0,piece_31,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_4.mid
0,0,piece_31,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_8.mid
0,0,piece_31,12,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_12.mid
0,0,piece_31,16,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_16.mid
0,0,piece_31,20,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_20.mid
0,0,piece_31,24,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_24.mid
0,0,piece_31,28,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_28.mid
0,0,piece_31,32,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_32.mid
0,0,piece_31,36,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Temple of Time_36.mid
1,0,piece_33,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Prelude of Light_0.mid
1,0,piece_33,4,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Prelude of Light_4.mid
1,0,piece_33,8,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Prelude of Light_8.mid
1,0,piece_34,0,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_0.mid
1,0,piece_34,4,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_4.mid
1,0,piece_34,8,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_8.mid
1,0,piece_34,12,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_12.mid
1,0,piece_34,16,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_16.mid
1,0,piece_34,20,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_20.mid
1,0,piece_34,24,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_24.mid
1,0,piece_34,28,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_28.mid
1,0,piece_34,32,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_32.mid
1,0,piece_34,36,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_36.mid
1,0,piece_34,40,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_40.mid
1,0,piece_34,44,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_44.mid
1,0,piece_34,48,-1,../phrases/Other_PS2_Shadow of the Colossus_The Farthest Land_48.mid
0,1,piece_35,0,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_0.mid
0,1,piece_35,4,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_4.mid
0,1,piece_35,8,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_8.mid
0,1,piece_35,12,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_12.mid
0,1,piece_35,16,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_16.mid
0,1,piece_35,20,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_20.mid
0,1,piece_35,24,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_24.mid
0,1,piece_35,28,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_28.mid
0,1,piece_35,32,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_32.mid
0,1,piece_35,36,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_36.mid
0,1,piece_35,40,-1,../phrases/Super Mario_N64_Super Mario 64_Koopas Theme_40.mid
1,1,piece_36,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Mining Town_0.mid
1,1,piece_36,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Mining Town_4.mid
1,1,piece_36,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Mining Town_8.mid
1,1,piece_36,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Mining Town_12.mid
1,1,piece_36,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Mining Town_16.mid
1,1,piece_36,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Mining Town_20.mid
1,0,piece_37,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_0.mid
1,0,piece_37,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_4.mid
1,0,piece_37,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_8.mid
1,0,piece_37,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_12.mid
1,0,piece_37,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_16.mid
1,0,piece_37,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_20.mid
1,0,piece_37,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_24.mid
1,0,piece_37,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_28.mid
1,0,piece_37,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_32.mid
1,0,piece_37,36,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_36.mid
1,0,piece_37,40,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Aeriths Theme_40.mid
1,1,piece_38,0,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_0.mid
1,1,piece_38,4,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_4.mid
1,1,piece_38,8,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_8.mid
1,1,piece_38,12,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_12.mid
1,1,piece_38,16,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_16.mid
1,1,piece_38,20,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_20.mid
1,1,piece_38,24,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_24.mid
1,1,piece_38,28,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_28.mid
1,1,piece_38,32,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_32.mid
1,1,piece_38,36,-1,../phrases/Super Mario_NES_Super Mario Bros_Main Theme_36.mid
1,1,piece_43,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_0.mid
1,1,piece_43,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_4.mid
1,1,piece_43,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_8.mid
1,1,piece_43,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_12.mid
1,1,piece_43,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_16.mid
1,1,piece_43,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_20.mid
1,1,piece_43,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_24.mid
1,1,piece_43,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_28.mid
1,1,piece_43,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_32.mid
1,1,piece_43,36,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_36.mid
1,1,piece_43,40,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_40.mid
1,1,piece_43,44,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_44.mid
1,1,piece_43,48,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_48.mid
1,1,piece_43,52,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_52.mid
1,1,piece_43,56,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_56.mid
1,1,piece_43,60,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_60.mid
1,1,piece_43,64,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_64.mid
1,1,piece_43,68,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_68.mid
1,1,piece_43,72,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_A High Wind Takes to the Skies_72.mid
0,1,piece_44,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_0.mid
0,1,piece_44,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_4.mid
0,1,piece_44,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_8.mid
0,1,piece_44,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_12.mid
0,1,piece_44,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_16.mid
0,1,piece_44,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_20.mid
0,1,piece_44,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_28.mid
0,1,piece_44,32,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_32.mid
0,1,piece_44,36,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_36.mid
0,1,piece_44,40,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_40.mid
0,1,piece_44,44,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_44.mid
0,1,piece_44,48,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_48.mid
0,1,piece_44,52,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_52.mid
0,1,piece_44,56,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_56.mid
1,1,piece_44,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Chasing The Black Caped Man_0.mid
1,0,piece_45,0,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_0.mid
1,0,piece_45,4,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_4.mid
1,0,piece_45,8,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_8.mid
1,0,piece_45,12,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_12.mid
1,0,piece_45,16,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_16.mid
1,0,piece_45,20,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_20.mid
1,0,piece_45,24,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_24.mid
1,0,piece_45,28,-1,../phrases/Final Fantasy_PS1_Final Fantasy VII_Costa Del Sol_28.mid
0,1,piece_47,0,-1,../phrases/The Legend of Zelda_N64_The Legend of Zelda Ocarina of Time_Inside Jabu Jabus Belly_0.mid
